46 OhJ_2014__MET0251__bin_50
45 BritoIL_2016__WL_10_ST__bin_22
28 CM_madagascar__A11_01_1FE__bin_22
71 CM_cf__CF_TNFC048SA_t1M16__bin_1
65 Obregon-TitoAJ_2015__NO04__bin_21
58 Bengtsson-PalmeJ_2015__TRAVELRES28__bin_19
56 CM_periimplantitis__SP_503SPT_T016__bin_2
55 HMP_2012__SRS043018__bin_33
56 HMP_2012__SRS047014__bin_27
85 BackhedF_2015__SID577_M__bin_28
121 ChengpingW_2017__AS108raw__bin_24
65 FengQ_2015__SID31160__bin_23
54 HMP_2012__SRS012285__bin_19
107 BackhedF_2015__SID526_12M__bin_28
135 CosteaPI_2017__SID713A055-11-0-0__bin_57
42 SchirmerM_2016__G88743__bin_9
75 HeQ_2017__SZAXPI029557-42__bin_30
67 OhJ_2014__MET0119__bin_16
33 LiuW_2016__SRR3992978__bin_72
68 HMP_2012__SRS055378__bin_53
55 RampelliS_2015__H3__bin_36
51 FengQ_2015__SID530348__bin_18
122 ChengpingW_2017__AS78raw__bin_62
46 GeversD_2014__SKBSTL018__bin_59
75 HMP_2012__SRS015762__bin_16
80 HMP_2012__SRS011343__bin_16
114 LiJ_2017__nHM611708__bin_59
79 CM_madagascar__A90_03_1FE__bin_26
115 BackhedF_2015__SID367_4M__bin_1
44 LiuW_2016__SRR3993050__bin_63
58 HMP_2012__SRS047219__bin_68
69 CM_periimplantitis__SP_264SPI_T016__bin_4
109 HMP_2012__SRS011302__bin_14
55 FengQ_2015__SID31450__bin_33
112 CosteaPI_2017__SID713A087-11-0-0__bin_9
90 CM_cf__CF_TNFC017SA_t1M16__bin_14
88 BackhedF_2015__SID18_B__bin_7
52 Bengtsson-PalmeJ_2015__TRAVELRES26_megahit__bin_131
22 CM_periimplantitis__SP_242SPT_T016_R__bin_17
63 HMP_2012__SRS014107__bin_4
28 CosteaPI_2017__SID713A039-11-0-0__bin_82
52 HMP_2012__SRS019028__bin_30
75 CM_madagascar__V50_01_2FE__bin_22
73 CM_periimplantitis__SP_283SPI_T016__bin_21
32 HMP_2012__SRS049147__bin_52
61 HeQ_2017__SZAXPI029462-133__bin_22
71 LeChatelierE_2013__MH0181__bin_13
46 FengQ_2015__SID530177__bin_19
96 BackhedF_2015__SID635_M__bin_31
90 CosteaPI_2017__SID713A087-11-0-0__bin_47
70 OhJ_2014__MET0251__bin_67
75 HMP_2012__SRS056796__bin_4
75 ChngKR_2016__WBU002__bin_3
29 SchirmerM_2016__G88801__bin_2
50 FengQ_2015__SID530450__bin_56
82 HeQ_2017__SZAXPI029560-51__bin_29
113 KarlssonFH_2013__S370__bin_37
109 FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin_125
55 FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin_19
191 OhJ_2014__MET0293_megahit__bin_22
108 CM_madagascar__A94_02_1FE__bin_19
4 HMP_2012__SRS023468__bin_20
