23_S49_bin.1	12
158_merged	27
104_merged	86
163_merged	37
9_S35_bin.3	3
18_S44_bin.10	27
8_S34_bin.5	17
16p_S16_bin.38	36
18_S44_bin.4	29
126_merged	47
16p_S16_bin.13	42
149_merged	69
11p_S11_bin.50	30
11p_S11_bin.32	19
9_S35_bin.2	27
23_S49_bin.7	104
11p_S11_bin.29	11
11p_S11_bin.8	38
17_S43_bin.6	11
5_S31_bin.14	26
166_merged	45
16p_S16_bin.16	36
16p_S16_bin.21	21
19_S45_bin.5	63
11p_S11_bin.55	18
11p_S11_bin.24	11
11p_S11_bin.72	15
23_S49_bin.3	36
20_S46_bin.3	55
11p_S11_bin.82	46
143_merged	22
132_merged	20
8p_S8_bin.7	28
130_merged	60
8_S34_bin.14	16
11p_S11_bin.13	55
161_merged	44
23_S49_bin.14	28
16p_S16_bin.70	152
15p_S15_bin.31	14
8_S34_bin.12	52
183_merged	16
23_S49_bin.13	32
8p_S8_bin.5	9
11p_S11_bin.70	22
23_S49_bin.8	98
8_S34_bin.18	22
32_merged	31
11p_S11_bin.59	19
23_S49_bin.9	16
11p_S11_bin.9	12
11p_S11_bin.86	16
20_S46_bin.8	23
18_S44_bin.9	8
11p_S11_bin.76	82
142_merged	41
5_S31_bin.10	24
17_S43_bin.7	20
16_S42_bin.6	32
162_merged	46
4p_S4_bin.8	17
23_S49_bin.10	11
15p_S15_bin.14	75
16_S42_bin.4	48
165_merged	4
17p_S17_bin.3	20
17p_S17_bin.4	46
8_S34_bin.1	13
170_merged	19
11p_S11_bin.80	42
26_S52_bin.3	5
16p_S16_bin.26	12
176_merged	83
17p_S17_bin.1	3
15_S41_bin.5	42
5_S31_bin.13	80
125_merged	67
20_S46_bin.5	66
139_merged	52
11p_S11_bin.40	22
5_S31_bin.4	33
11p_S11_bin.30	40
11p_S11_bin.20	11
8_S34_bin.6	44
11p_S11_bin.46	17
16p_S16_bin.1	24
191_merged	48
23_S49_bin.11	54
15p_S15_bin.32	14
146_merged	56
4p_S4_bin.5	25
16p_S16_bin.62	46
20_S46_bin.7	41
